CaseMasterID,CASEChargesheetID,Fir_id,Unit_id,Dispose_Date
3216155,583172,FIR21573,UNIT001,06-09-2024
3216156,726325,FIR21574,UNIT001,06-09-2024
3216160,612408,FIR21576,UNIT001,04-08-2024
3216163,572004,FIR21577,UNIT001,15-04-2024
3216173,586448,FIR21581,UNIT001,21-07-2024
3216174,722963,FIR21582,UNIT001,08-01-2024
3216177,625043,FIR21583,UNIT001,08-01-2024
3216178,712845,FIR21584,UNIT001,29-11-2024
3216180,669251,FIR21585,UNIT001,21-07-2024
3216182,726324,FIR21587,UNIT001,03-07-2024
3216183,633794,FIR21588,UNIT001,10-07-2024
3216191,631169,FIR21591,UNIT001,NULL
3216193,722479,FIR21592,UNIT001,04-08-2024
3216196,582780,FIR21593,UNIT001,08-01-2024
3216199,592470,FIR21594,UNIT001,14-10-2024
3216200,724495,FIR21595,UNIT001,10-07-2024
3216201,587629,FIR21596,UNIT001,20-12-2024
3216203,682458,FIR21598,UNIT001,03-07-2024
3216208,514074,FIR21599,UNIT001,12-08-2024
3216211,722962,FIR21600,UNIT001,21-07-2024
3216214,718892,FIR21603,UNIT001,14-10-2024
3216219,726319,FIR21606,UNIT001,NULL
3216224,677735,FIR21608,UNIT001,14-10-2024
3216227,597744,FIR21611,UNIT001,04-08-2024
3216233,612405,FIR21614,UNIT001,10-07-2024
3216240,717816,FIR21618,UNIT001,21-07-2024
3216245,724491,FIR21620,UNIT001,14-10-2024
3216246,712451,FIR21621,UNIT001,29-11-2024
3216253,683183,FIR21626,UNIT001,21-07-2024
3216258,718024,FIR21628,UNIT001,20-12-2024
3216266,612402,FIR21631,UNIT001,14-10-2024
3216267,610376,FIR21632,UNIT001,14-10-2024
3216269,716453,FIR21633,UNIT001,06-09-2024
3216275,718944,FIR21636,UNIT001,NULL
3216280,592240,FIR21637,UNIT001,NULL
3216286,586444,FIR21640,UNIT001,14-10-2024
3216306,574839,FIR21647,UNIT001,03-07-2024
3216319,568749,FIR21650,UNIT001,29-11-2024
3217963,1786831,FIR21669,UNIT001,06-09-2024
3218095,1894894,FIR21671,UNIT001,10-07-2024
3218377,1901552,FIR21692,UNIT001,08-04-2024
3218609,1333289,FIR21704,UNIT001,NULL
3219623,1389031,FIR22425,UNIT001,NULL
3219674,1441434,FIR22430,UNIT001,08-04-2024
3219771,1335061,FIR22435,UNIT001,07-08-2023
3220002,854398,FIR22448,UNIT001,NULL
3220142,774551,FIR22456,UNIT001,21-07-2024
3220165,929621,FIR22459,UNIT001,21-07-2024
3220293,931134,FIR22477,UNIT001,NULL
3220354,863784,FIR22483,UNIT001,08-04-2024
3220415,910790,FIR22489,UNIT001,10-07-2024
3220480,1247453,FIR22497,UNIT001,10-07-2024
3220511,1087107,FIR22502,UNIT001,08-01-2024
3220538,1244848,FIR22506,UNIT001,12-08-2024
3220553,1198346,FIR22509,UNIT001,08-01-2024
3220571,1034360,FIR22513,UNIT001,08-01-2024
3220578,1030220,FIR22515,UNIT001,28-02-2024
3220592,1082486,FIR22517,UNIT001,14-10-2024
3220599,1065167,FIR22519,UNIT001,21-07-2024
3220658,1176192,FIR22526,UNIT001,10-07-2024
3220679,1161935,FIR22529,UNIT001,08-04-2024
3220700,1056077,FIR22533,UNIT001,08-04-2024
3220775,1197036,FIR22546,UNIT001,NULL
3220810,1057169,FIR22558,UNIT001,08-04-2024
3220819,1060026,FIR22559,UNIT001,12-08-2024
3220837,1156800,FIR22562,UNIT001,NULL
3220855,1160798,FIR22567,UNIT001,08-04-2024
3220882,1196852,FIR22571,UNIT001,29-11-2024
3220891,1170804,FIR22575,UNIT001,29-11-2024
3220909,1196994,FIR22581,UNIT001,10-07-2024
3220946,1166956,FIR23324,UNIT001,08-01-2024
3220963,1166518,FIR23328,UNIT001,08-04-2024
3221016,1020922,FIR23342,UNIT001,08-01-2024
3221018,1048263,FIR23343,UNIT001,08-01-2024
3221020,1022507,FIR23344,UNIT001,28-02-2024
3221022,1045577,FIR23345,UNIT001,08-01-2024
3221030,1195911,FIR23347,UNIT001,NULL
3221032,1061059,FIR23348,UNIT001,08-04-2024
3221038,1046690,FIR23350,UNIT001,12-08-2024
3221042,1047207,FIR23351,UNIT001,07-08-2023
3221048,1024557,FIR23352,UNIT001,08-01-2024
3221063,1196575,FIR23357,UNIT001,NULL
3221093,1162041,FIR23366,UNIT001,28-02-2024
3221108,1172718,FIR23370,UNIT001,08-04-2024
3221123,1042305,FIR23373,UNIT001,08-01-2024
3221138,1040875,FIR23377,UNIT001,08-01-2024
3221165,1044540,FIR23384,UNIT001,NULL
3221241,1181967,FIR23401,UNIT001,07-08-2023
3221252,1228933,FIR23403,UNIT001,08-01-2024
3221263,1044533,FIR23405,UNIT001,12-08-2024
3221345,1059659,FIR23425,UNIT001,28-02-2024
3221406,519339,FIR23442,UNIT001,28-02-2024
3221436,595561,FIR23448,UNIT001,14-10-2024
3221584,518445,FIR23475,UNIT001,12-08-2024
3221587,624477,FIR23476,UNIT001,24-05-2024
3221599,619103,FIR23480,UNIT001,14-10-2024
3221647,619100,FIR23492,UNIT001,08-01-2024
3221651,575532,FIR23493,UNIT001,21-07-2024
3221653,577777,FIR23494,UNIT001,08-01-2024
3221655,619101,FIR23495,UNIT001,04-08-2024
3221659,633795,FIR23499,UNIT001,14-10-2024
3221667,574450,FIR23503,UNIT001,NULL
3221668,627992,FIR23504,UNIT001,12-08-2024
3221669,511474,FIR23505,UNIT001,12-08-2024
3221670,714714,FIR23506,UNIT001,14-10-2024
3221672,724496,FIR23508,UNIT001,NULL
3221673,511475,FIR23509,UNIT001,03-07-2024
3221674,616216,FIR23510,UNIT001,14-10-2024
3221675,592471,FIR23511,UNIT001,04-08-2024
3221676,724497,FIR23512,UNIT001,20-12-2024
3221678,670246,FIR23513,UNIT001,NULL
3221680,724498,FIR23514,UNIT001,NULL
3221684,611519,FIR23516,UNIT001,NULL
3221686,718890,FIR23517,UNIT001,NULL
3221688,571999,FIR23518,UNIT001,29-11-2024
3221695,526191,FIR23522,UNIT001,NULL
3221704,571275,FIR23528,UNIT001,03-07-2024
3221714,587627,FIR23533,UNIT001,NULL
3221716,588311,FIR23535,UNIT001,20-12-2024
3221718,611903,FIR23536,UNIT001,06-09-2024
3221719,718889,FIR23537,UNIT001,12-08-2024
3221721,582779,FIR23539,UNIT001,14-10-2024
3221725,724492,FIR23541,UNIT001,NULL
3221737,582778,FIR23547,UNIT001,21-07-2024
3221745,677733,FIR23550,UNIT001,NULL
3221755,610374,FIR23553,UNIT001,06-09-2024
3221759,675896,FIR23556,UNIT001,20-12-2024
3221771,712449,FIR23561,UNIT001,20-12-2024
3221784,603993,FIR23569,UNIT001,29-11-2024
3221787,604810,FIR23571,UNIT001,03-07-2024
3223461,1828097,FIR24217,UNIT001,08-01-2024
3223499,1867423,FIR24218,UNIT001,29-11-2024
3223940,1833044,FIR24230,UNIT001,NULL
3224351,1299511,FIR24244,UNIT001,06-09-2024
3225112,1291057,FIR24278,UNIT001,12-08-2024
3225259,1383100,FIR24284,UNIT001,06-09-2024
3225295,1341503,FIR24289,UNIT001,14-10-2024
3225428,1426341,FIR24299,UNIT001,08-04-2024
3225529,935995,FIR24305,UNIT001,28-02-2024
3225935,1178669,FIR25142,UNIT001,08-04-2024
3226013,1056203,FIR25154,UNIT001,06-09-2024
3226142,1059382,FIR25171,UNIT001,06-09-2024
3226268,1067821,FIR25189,UNIT001,06-09-2024
3226300,1197097,FIR25195,UNIT001,NULL
3226327,1028167,FIR25199,UNIT001,28-02-2024
3226354,1067818,FIR25209,UNIT001,06-09-2024
3226372,1154224,FIR25212,UNIT001,08-01-2024
3226412,1082097,FIR25218,UNIT001,12-08-2024
3226446,1045578,FIR25226,UNIT001,08-01-2024
3226538,1059912,FIR25243,UNIT001,NULL
3226613,1196128,FIR25262,UNIT001,08-04-2024
3226668,975320,FIR25274,UNIT001,28-02-2024
3226686,1162039,FIR25280,UNIT001,NULL
3226689,1044536,FIR25281,UNIT001,29-11-2024
3226692,1089756,FIR25283,UNIT001,NULL
3226695,1038226,FIR25284,UNIT001,28-02-2024
3226706,1088791,FIR25286,UNIT001,28-02-2024
3226772,1069730,FIR25301,UNIT001,21-07-2024
3226794,1221638,FIR25305,UNIT001,08-01-2024
3226820,1156696,FIR26018,UNIT001,08-01-2024
3226830,1195203,FIR26020,UNIT001,08-01-2024
3226844,1223472,FIR26021,UNIT001,04-08-2024
3226887,719692,FIR26037,UNIT001,08-04-2024
3226890,729844,FIR26039,UNIT001,15-04-2024
3226896,689380,FIR26041,UNIT001,08-01-2024
3226902,695761,FIR26043,UNIT001,28-02-2024
3226905,522885,FIR26045,UNIT001,15-04-2024
3226911,632179,FIR26046,UNIT001,14-10-2024
3226916,635389,FIR26047,UNIT001,20-12-2024
3227050,716942,FIR26106,UNIT001,14-10-2024
3227059,632169,FIR26108,UNIT001,06-09-2024
3227126,677269,FIR26119,UNIT001,NULL
3227128,626179,FIR26120,UNIT001,14-10-2024
3227131,625117,FIR26121,UNIT001,08-01-2024
3227133,718359,FIR26123,UNIT001,08-01-2024
3227139,629653,FIR26124,UNIT001,08-01-2024
3227140,692627,FIR26125,UNIT001,14-10-2024
3227141,521385,FIR26126,UNIT001,06-09-2024
3227144,640424,FIR26127,UNIT001,08-01-2024
3227146,669249,FIR26128,UNIT001,20-12-2024
3227147,577320,FIR26129,UNIT001,29-11-2024
3227148,726322,FIR26130,UNIT001,14-10-2024
3227149,633792,FIR26131,UNIT001,NULL
3227151,577321,FIR26132,UNIT001,06-09-2024
3227152,582159,FIR26133,UNIT001,21-07-2024
3227161,626178,FIR26135,UNIT001,14-10-2024
3227163,587630,FIR26136,UNIT001,14-10-2024
3227164,718893,FIR26137,UNIT001,15-04-2024
3227170,572000,FIR26139,UNIT001,14-10-2024
3227171,573241,FIR26140,UNIT001,NULL
3227174,724494,FIR26141,UNIT001,14-10-2024
3227177,628585,FIR26143,UNIT001,NULL
3227183,715569,FIR26146,UNIT001,NULL
3227184,521971,FIR26147,UNIT001,06-09-2024
3227187,568806,FIR26148,UNIT001,14-10-2024
3227188,572837,FIR26149,UNIT001,NULL
3227193,692621,FIR26152,UNIT001,08-01-2024
3227196,572838,FIR26153,UNIT001,14-10-2024
3227204,681656,FIR26157,UNIT001,10-07-2024
3227205,670245,FIR26158,UNIT001,NULL
3227206,717817,FIR26159,UNIT001,14-10-2024
3227215,571996,FIR26164,UNIT001,29-11-2024
3227216,573239,FIR26165,UNIT001,20-12-2024
3227218,588310,FIR26166,UNIT001,20-12-2024
3227220,573240,FIR26168,UNIT001,14-10-2024
3227227,720129,FIR26171,UNIT001,10-07-2024
3227231,571272,FIR26173,UNIT001,06-09-2024
3227243,677732,FIR26178,UNIT001,14-10-2024
3227249,675897,FIR26182,UNIT001,12-08-2024
3227254,711032,FIR26185,UNIT001,20-12-2024
3227256,715631,FIR26187,UNIT001,12-08-2024
3227262,669742,FIR26191,UNIT001,14-10-2024
3227264,627483,FIR26192,UNIT001,04-08-2024
3227267,570222,FIR26195,UNIT001,20-12-2024
3229013,1893968,FIR26224,UNIT001,10-07-2024
3229349,1891643,FIR26235,UNIT001,08-01-2024
3229596,1367037,FIR26247,UNIT001,28-02-2024
3229736,1246539,FIR26250,UNIT001,28-02-2024
3229857,1392843,FIR26256,UNIT001,14-10-2024
3229930,1401707,FIR26259,UNIT001,NULL
2221956,1335215,FIR26728,UNIT001,NULL
2223706,250262,FIR26733,UNIT001,NULL
2224568,99393,FIR26735,UNIT001,NULL
2227360,1483290,FIR26771,UNIT001,NULL
2231209,1527798,FIR26810,UNIT001,19-10-2020
2231926,1036787,FIR26811,UNIT001,NULL
2232935,1747390,FIR26841,UNIT001,NULL
2235700,344510,FIR26875,UNIT001,NULL
2236683,1637889,FIR26881,UNIT001,NULL
2239335,1417828,FIR26918,UNIT001,NULL
2239462,1492556,FIR26920,UNIT001,NULL
2240970,180633,FIR26927,UNIT001,18-01-2021
2242205,96592,FIR26956,UNIT001,18-01-2021
3230015,1437470,FIR27636,UNIT001,14-10-2024
3230382,1302928,FIR27730,UNIT001,08-01-2024
3230405,1479066,FIR27734,UNIT001,21-07-2024
2338197,1229944,FIR27864,UNIT001,19-10-2020
2339814,1218903,FIR27873,UNIT001,NULL
2340268,890381,FIR27877,UNIT001,NULL
2340416,787440,FIR27908,UNIT001,NULL
2341285,341930,FIR27916,UNIT001,NULL
3231062,930127,FIR27926,UNIT001,06-09-2024
3231068,941947,FIR27927,UNIT001,NULL
2341965,17113,FIR27936,UNIT001,NULL
2342814,1870981,FIR27943,UNIT001,NULL
3231202,1006052,FIR27974,UNIT001,26-04-2024
3231253,884190,FIR27980,UNIT001,20-12-2024
3231286,803723,FIR27996,UNIT001,08-01-2024
2345146,918822,FIR28015,UNIT001,NULL
2345777,1059700,FIR28018,UNIT001,NULL
2345931,1193149,FIR28020,UNIT001,19-10-2020
2346083,1020998,FIR28035,UNIT001,NULL
3231470,1167484,FIR28050,UNIT001,NULL
3231571,1066267,FIR28076,UNIT001,06-09-2024
3231584,1167453,FIR28078,UNIT001,28-02-2024
3231596,1067300,FIR28079,UNIT001,29-11-2024
3231602,1197334,FIR28080,UNIT001,08-04-2024
