UnitID,UnitName,Latitude,Longitude
1415,Airport PS,13.19914246,77.70569611
1416,H.A.L. PS,12.95500565,77.6828537
1417,Cottonpet PS,12.96800804,77.57010651
1418,Byatarayanapura  PS,12.95139694,77.54012299
1420,Chandra Layout PS,12.9588995,77.52839661
1421,Jagajeevanram Nagar PS,12.96408176,77.5550766
1422,Jnanabharathi PS,12.95055294,77.50026703
1423,Kengeri PS,12.91047764,77.48156738
1424,Vijayanagar PS,12.97070789,77.5377655
1425,Magadi Road PS,12.97563934,77.55020905
1426,Basaveshwara Nagar PS,12.98530674,77.54257202
1427,Kempapura Agrahara PS,12.9728241,77.56149292
1428,Kamakshipalya PS,12.98222351,77.53202057
1429,Chickpet PS,NULL,NULL
1430,Upparpet PS,12.97450542,77.57481384
1431,Kalasipalya PS,12.95737076,77.57735443
1432,City Market PS,12.96499825,77.57605743
1433,Bailahongal Sub-Division,NULL,NULL
1434,Chikkodi Sub-Division,NULL,NULL
1435,Bagewadi Circle,NULL,NULL
1436,Mudalgi Circle,16.33743668,74.96418762
1437,Hukkeri Circle,16.23764992,74.60547638
1438,Bailahongala Circle,15.82115555,74.85973358
1439,Kittur  Circle,15.59982491,74.78900147
1440,Saundatti Circle,15.76888084,75.11545563
1441,Ramadurga Circle,15.94932842,75.29465485
1442,Chikkodi Circle,16.42446327,74.58804321
1443,Nippani Circle,16.41448975,74.37120819
1444,Harugeri Circle,NULL,NULL
1445,Athani Circle,16.77946091,75.2498703
1447,Siruguppa Circle,NULL,NULL
1448,Bidar Rural Circle,NULL,NULL
1449,Basava Kalyana Circle,NULL,NULL
1451,Manthala Circle,NULL,NULL
1452,Aurad Circle,NULL,NULL
1453,Belagavi City Women PS,NULL,NULL
1455,Udyambag PS,15.82068825,74.4914093
1456,Bagewadi PS,15.7761507,74.63783264
1457,Marihal PS,15.88144589,74.6641922
1458,Mudalgi PS,16.33743668,74.96418762
1459,Kulgod PS,16.24463844,75.04640198
1460,Ghataprabha PS,16.23718834,74.76622009
1461,Hukkeri PS,16.23752022,74.60520172
1462,Sankeshwar PS,16.25432015,74.48700714
1463,Yamakanmardi PS,16.12773895,74.51655579
1464,Bailahongal PS,15.81843662,74.86291504
1465,Nesargi PS,15.90715408,74.78795624
1466,Kittur PS,15.59982491,74.78900147
1467,Doddawad PS,15.67906857,74.95970154
1468,Soundatti PS,15.76327419,75.10801697
1469,Manthala PS,17.81670189,76.84948731
1470,Murgod PS,15.8866787,74.92690277
1471,Mudbi PS,17.73698425,76.93004608
1472,Ramadurga PS,15.94931507,75.29486084
1473,Katkol PS,15.98541164,75.13605499
1474,Aurad PS,18.24886513,77.41220093
1475,Santhapur PS,18.1601162,77.4360733
1476,Chintaki PS,18.21730995,77.53785706
1477,Bhalki Town PS,18.0466156,77.21554565
1478,Chikkodi PS,16.4240303,74.57672882
1479,Sadalaga PS,16.54973984,74.53240204
1480,Nippani Town PS,16.39426041,74.38384247
1481,Nippani Rural PS,16.39426041,74.38384247
1482,Basaweshwar Chowk PS,16.41090965,74.37753296
1483,Raibag PS,16.50254059,74.76985169
1484,Kudachi PS,16.62445068,74.85453033
1485,Athani PS,16.77946091,75.2498703
1486,Kagwad PS,16.69598961,74.71672058
1487,Aigali PS,16.77946091,75.2498703
1489,Sandur Circle,NULL,NULL
1491,Hagaribommanahalli Circle,NULL,NULL
1492,Hadagali Circle,NULL,NULL
1493,Golgumbaz Circle,NULL,NULL
1494,Sindagi Circle,NULL,NULL
1495,Golgumbaz PS,16.82637978,75.73872376
1496,APMC PS,16.8355999,75.72164917
1497,Adarsh Nagar PS,16.84875488,75.70886993
1501,Kudligi PS,14.90470123,76.38703919
1502,Gudekote PS,14.83222771,76.6283493
1503,Kottur PS,14.82709312,76.22861481
1504,Hosahalli PS,14.64945507,76.46518707
1505,Hagaribommanahalli PS,15.04332161,76.20066834
1506,T.B. Halli PS,NULL,NULL
1507,Hadagali PS,15.01871395,75.93440247
1508,Ittigi PS,14.95199013,76.09500885
1509,Hirehadagali PS,14.92551136,75.82965851
1510,Sindagi PS,16.9218235,76.23162079
1511,Almel PS,17.0892601,76.21880341
1512,Devara Hipparagi PS,16.81780434,76.06317139
1513,Kalkeri PS,16.67107964,76.30806732
1514,Battalion IX - Bangalore,NULL,NULL
1515,Kuduremukh Circle,NULL,NULL
1516,N.R. Pura Circle,NULL,NULL
1517,Santhebennur Circle,NULL,NULL
1518,Honnali Circle,14.23416996,75.65733337
1519,RMC Yard PS,14.45976639,75.93586731
1520,Davanagere Women PS,14.46512604,75.92017365
1521,Davanagere South Traffic PS,14.46044445,75.93097687
1522,Channagiri PS,14.02308464,75.9288559
1523,Santhebennur PS,14.17317486,76.0068512
1524,Basavapatna PS,14.20628548,75.81712341
1525,Kalasa PS,13.24145031,75.35897827
1526,Honnali PS,14.23416996,75.65733337
1527,Nyamathi PS,14.148983,75.56258392
1528,Kuduremukh PS,13.21395493,75.25244904
1529,Chincholi Sub-Division,17.45822334,77.42099762
1530,Yadgiri Sub-Division,NULL,NULL
1531,Alland Sub-Division,17.5615406,76.56073761
1535,Kalaghatagi PS,15.17450047,74.97003174
1536,Jewargi  Circle,17.01596451,76.77559662
1537,Chittapura  Circle,17.11635017,77.08280945
1538,Hubli Rural PS,15.35080624,75.13969421
1539,Chincholi Circle,17.45822334,77.42099762
1540,Kundagol PS,15.25975037,75.24011231
1541,Sulepet  Circle,17.39837647,77.346138
1542,Sedam Circle,17.17988396,77.28504181
1543,Gowribidanur Circle,NULL,NULL
1544,Yadgiri Circle,NULL,NULL
1545,Gurumitkal Circle,NULL,NULL
1546,Shahapura Rural Circle,NULL,NULL
1547,Hunasigi Circle,NULL,NULL
1548,Betageri Circle,NULL,NULL
1550,Shirahatti Circle,NULL,NULL
1551,Alland Circle,17.5615406,76.56073761
1552,Ron Circle,NULL,NULL
1553,Afzalpur Circle,17.20162392,76.3584671
1555,Chelur Circle,NULL,NULL
1556,Hullahalli PS,NULL,NULL
1557,Ragavendranagar PS,17.3370266,76.8168869
1558,Betageri  PS,15.44524956,75.6469574
1559,Betageri Extention PS,15.42786026,75.65229034
1560,Kalaburagi Traffic II PS,17.33782768,76.83708954
1561,Kalaburagi Women PS,17.32824516,76.83596802
1562,Shirahatti PS,15.14142036,75.34591675
1563,Lakshmeshwar PS,15.07131004,75.28250885
1564,Ron PS,15.39449978,75.44229889
1565,Naregal PS,15.34449959,75.49440002
1566,Gajendragad PS,15.73591995,75.9670105
1567,Mundargi PS,15.12395954,75.53016663
1568,Nargund PS,15.43185997,75.23177338
1569,Gudibande PS,13.67050362,77.70676422
1570,Jewargi PS,17.01596451,76.77559662
1571,Yedrami PS,16.85522652,76.53174591
1572,Bagepalli PS,13.78330517,77.79245758
1573,Nelogi PS,17.05835342,76.60829926
1575,Patapalya PS,13.75629139,77.94897461
1576,Chelur PS,13.70922947,78.09690857
1577,Chittapura PS,17.11635017,77.08280945
1578,Wadi PS,17.0575695,76.99167633
1579,Chincholi PS,17.45822334,77.42099762
1580,Kunchavaram PS,17.4853878,77.6282196
1581,Miryan PS,17.36305237,77.49771118
1582,Sulepet PS,17.39876366,77.34126282
1583,Ratkal PS,17.45186615,77.10832977
1584,Bylakuppe Circle,NULL,NULL
1585,Sedam PS,17.17988396,77.28504181
1586,Kurakunta PS,17.17054558,77.33796692
1587,Mudhol PS,17.0581646,77.39748383
1588,Malkhed PS,17.19517326,77.16107941
1589,Yadgiri Town PS,16.77160454,77.1378479
1590,Yadgiri Rural PS,16.76276398,77.13234711
1595,Gogi PS,16.73301506,76.74612427
1596,Wadigere PS,16.59307289,77.10054779
1597,Bheemarayanagudi PS,16.72063828,76.80381012
1598,Shorapur PS,16.52589607,76.75946808
1599,Kembhavi PS,16.64773941,76.53238678
1600,Periyapatna PS,12.33741474,76.08863831
1601,Narayanapura PS,16.25567818,76.36869049
1602,Bylakuppe PS,12.42725563,75.99741364
1603,Kodekal PS,16.35391617,76.40657044
1604,Bettadapura PS,12.46729946,76.10115814
1605,Alland PS,17.5615406,76.56073761
1606,K.M. Doddi Circle,NULL,NULL
1607,Narona PS,17.51386261,76.71721649
1608,Maddur Rural Circle,NULL,NULL
1609,Nimbarga PS,17.38743591,76.58758545
1610,Afzalpur PS,17.20162392,76.3584671
1611,Kowlande PS,NULL,NULL
1612,Revoor PS,17.31669045,76.46195221
1613,Devalagangapur PS,17.18233109,76.53494263
1614,Madanahipparga PS,17.46654129,76.36812592
1615,Hunasagi PS,16.45634079,76.52851868
1616,Hirisave Circle,NULL,NULL
1617,Besagaraghalli PS,12.63613892,77.00602722
1618,Kesthur PS,12.69169426,77.06077576
1619,Koppa PS,12.70768929,76.95722961
1620,Channarayapatna Town PS,12.90328121,76.389534
1621,Channarayapatna Rural PS,12.9121542,76.38192749
1622,Nuggehalli PS,13.00861073,76.4763794
1623,Shravanabelagola PS,12.85977078,76.48382568
1624,Hirisave PS,12.95631027,76.58483887
1625,Madhugiri Sub-Division,NULL,NULL
1626,Kyathasandra Circle,NULL,NULL
1627,Kutta Circle,NULL,NULL
1628,Ajekar PS,13.31908035,74.99960327
1629,Sira Rural Circle,NULL,NULL
1630,Chikkanayakanahalli Circle,NULL,NULL
1631,Kutta PS,11.96878624,76.05176544
1632,Srimangala PS,12.01870918,75.98980713
1633,Madhugiri Circle,NULL,NULL
1634,Pavagada Circle,NULL,NULL
1635,Kyathasandra PS,13.30826473,77.14836884
1636,Hebbur PS,13.15099335,77.03170776
1641,Mangalore Traffic Circle,NULL,NULL
1642,Sira PS,13.74416065,76.90336609
1643,Koratagere PS,13.52631474,77.24198151
1644,Kallambella PS,13.63983536,76.9371109
1645,Patanayakanahalli PS,13.88744736,76.92050171
1646,Tavarekere PS,13.79648686,76.80389404
1647,Mangalore Rural Circle,NULL,NULL
1648,Sullia Circle,12.55319977,75.39199829
1649,Belthangadi Rural Circle,NULL,NULL
1650,Hosanagara Circle,NULL,NULL
1651,Shikaripura Circle,NULL,NULL
1652,Chikkanayakanahalli PS,13.4146862,76.62115479
1653,Huliyar PS,13.58285332,76.53839874
1654,Soraba Circle,NULL,NULL
1655,Madhugiri PS,13.66158485,77.21411133
1656,Kodigenahalli PS,13.71993923,77.38666534
1657,Medigeshi PS,13.83269215,77.20530701
1658,Pavagada PS,14.10029507,77.28419495
1659,Arasikere PS,14.0839138,77.04098511
1660,Y.N. Hosakote PS,14.27932453,77.17383575
1661,Thirumani PS,14.23806667,77.43886566
1662,Mangalore East Traffic PS,12.890275,74.85279083
1663,Mangalore West Traffic PS,NULL,NULL
1664,Anavatti PS,14.56277466,75.15061951
1666,Haliyal Circle,NULL,NULL
1668,Kapu Circle,13.22889996,74.74822998
1669,Subramanya PS,12.66749954,75.61270142
1671,Honnavara Circle,NULL,NULL
1672,Venoor PS,13.01249981,75.1391983
1673,Karwar Railway PS,NULL,NULL
1674,Ankola PS,14.66018963,74.30580139
1675,Haliyal PS,15.32954121,74.76714325
1676,Ambikanagar  PS,15.12427807,74.65962219
1677,Banavasi PS,14.54138947,75.02049255
1678,Siddapura PS,14.345198,74.893863
1679,Yellapura PS,14.96526241,74.71205139
1680,Honnavara PS,14.28184509,74.45084381
1681,Manki PS,14.18630219,74.48654938
1686,Dharwad Sub-Urban PS,15.46435833,74.99803162
1687,Vidyagiri PS,15.43900681,75.01129913
1688,Hubballi North Traffic PS,NULL,NULL
1689,Hubballi South Traffic PS,NULL,NULL
1690,Dharwad Traffic PS,NULL,NULL
1691,South East Traffic Sub Division,12.94181538,77.60861206
1694,FPB Unit,NULL,NULL
1695,CAR South,NULL,NULL
1696,CAR NORTH,NULL,NULL
1740,Pension Mohalla Circle,NULL,NULL
1741,Hassan City PS,13.0029726,76.10066986
1742,Hassan Traffic PS,13.00694943,76.11354828
1743,Hassan Extn. PS,13.00694943,76.11354828
1744,Pension Mohalla PS,13.0091114,76.09557343
1745,Hosanagara PS,13.91580963,75.0657959
1747,Kalaburagi Traffic I PS,17.32158852,76.82801056
1748,Hassan Rural PS,13.0029726,76.10066986
1749,Ripponpet PS,13.99320126,75.25978851
1750,Lakkavalli PS,13.70184898,75.65414429
1752,BAGALKOT DAR,NULL,NULL
1753,Sakaleshpura Sub-Division ,NULL,NULL
1755,DCP West Traffic Division,13.0181303,77.55857849
1756,Central Traffic Sub Division,12.98331165,77.5969696
1757,East Traffic Sub-Division,12.9785347,77.64019775
1758,North Traffic Sub Division,12.99668312,77.56370544
1759,South Traffic Sub Division,12.93660545,77.57948303
1760,West Traffic Sub-Division,12.97438431,77.57507324
1761,Ashoknagar Traffic PS,12.97163296,77.61032867
1762,Adugodi Traffic PS,12.9415226,77.60858917
1763,Madivala Traffic PS,12.9209919,77.62072754
1764,Mico Layout Traffic PS,12.91327763,77.60005951
1765,Wilsongarden Traffic PS,12.95013237,77.59613037
1766,Cubbonpark Traffic PS,12.98272896,77.59585571
1767,High Grounds Traffic PS,12.98471069,77.58304596
1768,Sadashivanagar Traffic PS,13.0148468,77.57256317
1769,Halasur Gate Traffic PS,12.96656895,77.58719635
1770,Airport Traffic PS,12.95964527,77.66733551
1771,Shivajinagar Traffic PS,12.98791981,77.60342407
1772,Pulakeshinagar Traffic PS,12.99927521,77.61965179
1773,Jeevan Bhima Nagar (Indiranagar) Traffic  PS,12.97817516,77.64025116
1774,K.R.Puram Traffic PS,13.00796986,77.6938324
1775,Halasur Traffic PS,12.97469997,77.62531281
1776,Banasawadi Traffic PS,13.01950264,77.64022064
1777,Hebbal Traffic PS,13.04240894,77.588974
1778,Malleshwaram Traffic PS,12.99665737,77.569664
1779,Peenya Traffic PS,13.03607082,77.52114105
1780,R.T.Nagar Traffic PS,13.03328323,77.58856964
1781,Rajajinagar Traffic PS,12.99462891,77.55428314
1782,Yeshwanthapura Traffic PS,13.01815796,77.55817413
1783,Banashankari Traffic PS,12.92917538,77.56783295
1784,Basavanagudi Traffic PS,12.9423523,77.5741272
1785,V V Puram Traffic PS,12.95734406,77.57751465
1786,Jayanagar Traffic PS,12.92848587,77.5814743
1787,Byatrarayanapura Traffic PS,12.95057869,77.54084778
1788,Chamarajapete (Chickpet) Traffic PS,12.57363033,77.34184265
1789,City Market Traffic PS,12.97074032,77.57337952
1790,Magadi Road Traffic PS,12.97458553,77.55136108
1791,Upparpet Traffic PS,12.97442818,77.57469177
1792,Vijayanagar Traffic PS,12.96064663,77.54070282
